GISJOIN,Date of Post,Date of Incident,Time of Post,Time of Incident,Area,Abscissa (x),Ordinate (y),Khodor,Ahmad,GS,Folder Source,URL Source,,Platform,Format
,,,,,,,,,,,,,,,
1,2023-10-10,2023-10-10,18:57:00,18:57:00,El Merri,,,Yes,,,20231010_1857_WarMonitors,https://twitter.com/WarMonitors/status/1711772909906129044,Live,Twitter,mp4
1,2023-10-10,2023-10-10,18:57:00,18:57:00,El Merri,,,Yes,,,20231010_1857_WarMonitors,https://twitter.com/WarMonitors/status/1711772909906129044,Live,Twitter,mp4
,2023-10-10,2023-10-10,18:50:00,18:50:00,Talet Irmis,,,Yes,,,20231010_1850_AlarabyTV,https://twitter.com/AlarabyTV/status/1711771129356935451,Live,Twitter,mp4
,2023-10-10,2023-10-10,18:50:00,18:50:00,Talet Irmis,,,Yes,,,20231010_1850_AlarabyTV,https://twitter.com/AlarabyTV/status/1711771129356935451,Live,Twitter,mp4
,2023-10-10,2023-10-10,18:50:00,18:50:00,Talet Irmis,,,Yes,,,20231010_1850_AlarabyTV,https://twitter.com/AlarabyTV/status/1711771129356935451,Live,Twitter,mp4
,2023-10-10,2023-10-10,18:50:00,18:50:00,Talet Irmis,,,Yes,,,20231010_1850_AlarabyTV,https://twitter.com/AlarabyTV/status/1711771129356935451,Live,Twitter,mp4
,2023-10-10,2023-10-10,18:50:00,18:50:00,Talet Irmis,,,Yes,,,20231010_1850_AlarabyTV,https://twitter.com/AlarabyTV/status/1711771129356935451,Live,Twitter,mp4
,2023-10-10,2023-10-10,18:50:00,18:50:00,Talet Irmis,,,Yes,,,20231010_1850_AlarabyTV,https://twitter.com/AlarabyTV/status/1711771129356935451,Live,Twitter,mp4
,2023-10-10,2023-10-10,21:30:00,21:30:00,Dhaira,,,Yes,,,20231010_2130_aljazeera,https://www.aljazeera.net/news/2023/10/10/عاجل-مراسل-الجزيرة-إطلاق-صواريخ-من,Live,Al-Jazeera,mp4
,2023-10-10,2023-10-10,21:30:00,21:30:00,Dhaira,,,Yes,,,20231010_2130_aljazeera,https://www.aljazeera.net/news/2023/10/10/عاجل-مراسل-الجزيرة-إطلاق-صواريخ-من,Live,Al-Jazeera,mp4
,2023-10-13,2023-10-13,21:44:00,18:17:00,Ramiye,,,Yes,,,20231013_2144_fouadkhreiss,https://twitter.com/fouadkhreiss/status/1712902186143748568,Live,Twitter,mp4
,2023-10-15,2023-10-15,20:23:00,20:23:00,El Boustane,,,Yes,,,20231015_2023_hmalla72,https://twitter.com/hmalla72/status/1713606650555420987,Live,Twitter,mp4
,2023-10-15,2023-10-15,20:23:00,20:23:00,El Boustane,,,Yes,,,20231015_2023_hmalla72,https://twitter.com/hmalla72/status/1713606650555420987,Live,Twitter,mp4
,2023-10-15,2023-10-15,20:25:00,20:25:00,El Boustane,,,Yes,,,"20231015_2025_hmalla72_1
20231015_2025_hmalla72_2
20231015_2025_hmalla72_3
20231015_2025_hmalla72_4",https://twitter.com/hmalla72/status/1713607043909603489/photo/1,Live,Twitter,jpg
,2023-10-15,2023-10-15,20:25:00,20:25:00,El Boustane,,,Yes,,,"20231015_2025_hmalla72_1
20231015_2025_hmalla72_2
20231015_2025_hmalla72_3
20231015_2025_hmalla72_4",https://twitter.com/hmalla72/status/1713607043909603489/photo/1,Live,Twitter,jpg
,2023-10-15,2023-10-15,20:25:00,20:25:00,Aita Ech Chaab,,,Yes,,,"20231015_2025_hmalla72_1
20231015_2025_hmalla72_2
20231015_2025_hmalla72_3
20231015_2025_hmalla72_4",https://twitter.com/hmalla72/status/1713607043909603489/photo/1,Live,Twitter,jpg
,2023-10-15,2023-10-15,0:00:00,0:00:00,El Boustane,,,Yes,,,"20231015_Hussein Malla_1
20231015_Hussein Malla_2
20231015_Hussein Malla_3",https://upnorthlive.com/news/nation-world/amnesty-international-says-israeli-forces-wounded-lebanese-civilians-with-white-phosphorus,Live,UpNorthLive,jpg
,2023-10-15,2023-10-15,0:00:00,0:00:00,Marouahine,,,Yes,,,20231015_truthout,https://truthout.org/articles/beyond-horrific-report-says-israel-illegally-used-white-phosphorus-in-lebanon/,Live,TruthOut,jpg
,2023-10-17,2023-10-17,,17:00:00,Meiss El Jabal,,,Yes,,,20231017 Meiss Ej Jabal,Green Southerners,Live,Green Southerners,mp4
,2023-10-17,2023-10-17,,17:00:00,Meiss El Jabal,,,Yes,,,20231017 Meiss Ej Jabal (2),Green Southerners,Live,Green Southerners,mp4
,2023-10-17,2023-10-17,,17:00:00,Meiss El Jabal,,,Yes,,,20231017 Meiss Ej Jabal (3),Green Southerners,Live,Green Southerners,mp4
,2023-10-17,2023-10-17,,17:00:00,Meiss El Jabal,,,Yes,,,20231017 Meiss Ej Jabal (4),Green Southerners,Live,Green Southerners,mp4
,2023-10-17,2023-10-17,0:52:00,0:52:00,Dhaira,,,Yes,,,20231017_0052_MarioNawfal,https://twitter.com/MarioNawfal/status/1714036697959223546,Live,Twitter,jpg
,2023-10-17,2023-10-17,13:30:00,13:30:00,Dhaira,,,Yes,,,20231017_mehrnews,https://en.mehrnews.com/news/207230/Israeli-regime-uses-white-phosphorus-in-south-Lebanon-again,Live,MehrNews,jpg
,2023-10-21,2023-10-21,18:59:00,18:59:00,Yaroun,,,Yes,,,20231021_1859_sentdefender,https://twitter.com/sentdefender/status/1715759706747133954,Live,Twitter,mp4
,2023-10-21,2023-10-21,18:59:00,18:59:00,Yaroun,,,Yes,,,20231021_1859_sentdefender,https://twitter.com/sentdefender/status/1715759706747133954,Live,Twitter,mp4
,2023-10-21,2023-10-21,18:59:00,18:59:00,Yaroun,,,Yes,,,20231021_1859_sentdefender,https://twitter.com/sentdefender/status/1715759706747133954,Live,Twitter,mp4
,2023-10-21,2023-10-21,18:59:00,18:59:00,Yaroun,,,Yes,,,20231021_1859_sentdefender,https://twitter.com/sentdefender/status/1715759706747133954,Live,Twitter,mp4
,2023-10-21,2023-10-21,18:59:00,18:59:00,Yaroun,,,Yes,,,20231021_1859_sentdefender_1,https://twitter.com/sentdefender/status/1715759706747133954,Live,Twitter,mp4
,2023-10-30,2023-10-30,12:26:00,12:26:00,South Lebanon,,,Yes,,,20231030_1226_BaqirBaig,https://twitter.com/BaqirBaig/status/1718937493276664101,Live,Twitter,mp4
,2023-11-02,2023-11-02,,14:00:00,Markaba,,,Yes,,,20231102 مركبا فوسفوري 2,Green Southerners,Live,Green Southerners,jpg
,2023-11-02,2023-11-02,,14:00:00,Markaba,,,Yes,,,20231102 مركبا فوسفوري,Green Southerners,Live,Green Southerners,jpg
,2023-11-05,2023-11-05,,17:30:00,Mhaibib,,,Yes,,,20231105 Mouhibib,Green Southerners,Not Live,Green Southerners,mp4
,2023-11-05,2023-11-05,,17:30:00,Mhaibib,,,Yes,,,20231105 محيبيب,Green Southerners,Not Live,Green Southerners,mp4
,2023-11-05,2023-11-05,,15:00:00,Blida,,,Yes,,,20231105 بليدا فوسفوري 2,Green Southerners,Live,Green Southerners,jpg
,2023-11-05,2023-11-05,,15:00:00,Blida,,,Yes,,,20231105 بليدا فوسفوري,Green Southerners,Live,Green Southerners,jpg
,2023-11-09,2023-11-09,,15:00:00,Al Khiam,,,Yes,,,20231109_france24,https://www.france24.com/en/live-news/20240605-israeli-white-phosphorus-stalks-south-lebanon-rights-groups,Live,france24,jpg
,2023-11-09,2023-11-09,,15:00:00,Marjayoun,,,Yes,,,20231109 مرج كفركلا وأطراف برج الملوك وبلدة الخيام وسهل مرجعيون ومنطقة الحماص وأبل القمح فوسفوري,Green Southerners,Live,Green Southerners,jpg
,2023-11-09,2023-11-09,,15:00:00,Al Khiam,,,Yes,,,20231109 مرج كفركلا وأطراف برج الملوك وبلدة الخيام وسهل مرجعيون ومنطقة الحماص وأبل القمح فوسفوري,Green Southerners,Live,Green Southerners,jpg
,2023-11-09,2023-11-09,,15:00:00,Borj El Mlouk,,,Yes,,,20231109 مرج كفركلا وأطراف برج الملوك وبلدة الخيام وسهل مرجعيون ومنطقة الحماص وأبل القمح فوسفوري,Green Southerners,Live,Green Southerners,jpg
,2023-11-09,2023-11-09,,15:00:00,Kfar Kila,,,Yes,,,20231109 مرج كفركلا وأطراف برج الملوك وبلدة الخيام وسهل مرجعيون ومنطقة الحماص وأبل القمح فوسفوري,Green Southerners,Live,Green Southerners,jpg
,2023-11-10,2023-11-10,12:20:00,12:20:00,Meiss El Jabal,,,Yes,,,20231110_1220_PalinfoAr_1,https://twitter.com/PalinfoAr/status/1722922193053516265/photo/1,Live,Twitter,jpg
,2023-11-10,2023-11-10,12:20:00,12:20:00,Meiss El Jabal,,,Yes,,,20231110_1220_PalinfoAr_2,https://twitter.com/PalinfoAr/status/1722922193053516265/photo/1,Live,Twitter,jpg
,2023-11-10,2023-11-10,12:20:00,12:20:00,Meiss El Jabal,,,Yes,,,20231110_1220_PalinfoAr_2,https://twitter.com/PalinfoAr/status/1722922193053516265/photo/1,Live,Twitter,jpg
,2023-11-10,2023-11-10,,14:00:00,Meiss El Jabal,,,Yes,,,20231110 Meiss Ej Jabal,Green Southerners,Not Live,Green Southerners,mp4
,2023-11-10,2023-11-10,,14:00:00,Meiss El Jabal,,,Yes,,,20231110 Meiss Ej Jabal,Green Southerners,Not Live,Green Southerners,mp4
,2023-11-12,2023-11-12,14:35:00,14:35:00,Meiss El Jabal,,,Yes,,,20231112_1435_dondawastaken,https://twitter.com/dondawastaken/status/1723681032019333502,Live,Twitter,mp4
,2023-11-12,2023-11-12,14:50:00,14:50:00,Meiss El Jabal,,,Yes,,,20231112_1450_dondawastaken,https://twitter.com/dondawastaken/status/1723684670502588769,Live,Twitter,mp4
,2023-11-12,2023-11-12,14:50:00,14:50:00,Meiss El Jabal,,,Yes,,,20231112_1450_dondawastaken,https://twitter.com/dondawastaken/status/1723684670502588769,Live,Twitter,mp4
,2023-11-12,2023-11-12,14:50:00,14:50:00,Meiss El Jabal,,,Yes,,,20231112_1450_dondawastaken,https://twitter.com/dondawastaken/status/1723684670502588769,Live,Twitter,mp4
,2023-11-12,2023-11-12,14:50:00,14:50:00,Meiss El Jabal,,,Yes,,,20231112_1450_dondawastaken,https://twitter.com/dondawastaken/status/1723684670502588769,Live,Twitter,mp4
,2023-11-12,2023-11-12,20:50:00,20:50:00,South Lebanon,,,Yes,,,20231112_2050_reuters,https://www.reuters.com/world/us/white-house-us-concerned-about-reports-israel-used-white-phosphorus-lebanon-2023-12-11/,Live,Reuters,jpg
,2023-11-12,2023-11-12,20:50:00,20:50:00,South Lebanon,,,Yes,,,20231112_2050_reuters,https://www.reuters.com/world/us/white-house-us-concerned-about-reports-israel-used-white-phosphorus-lebanon-2023-12-11/,Live,Reuters,jpg
,2023-11-12,2023-11-12,20:24:00,20:24:00,Markaba,,,Yes,,,20231112_almashhad,https://almashhad.com/article/773112298002792-News/479086673407296-صورة-الجيش-الإسرائيلي-يطالب-سكان-جنوب-لبنان-بالنزوح-إلى-الشمال/,Live,Al-Mashhad,jpg
,2023-11-12,2023-11-12,20:24:00,20:24:00,Markaba,,,Yes,,,20231112_almashhad,https://almashhad.com/article/773112298002792-News/479086673407296-صورة-الجيش-الإسرائيلي-يطالب-سكان-جنوب-لبنان-بالنزوح-إلى-الشمال/,Live,Al-Mashhad,jpg
,2023-11-12,2023-11-12,,14:00:00,Meiss El Jabal,,,Yes,,,20231112 Meiss Ej Jabal,Green Southerners,Live,Green Southerners,mp4
,2023-11-12,2023-11-12,,14:00:00,Meiss El Jabal,,,Yes,,,20231112 Meiss Ej Jabal,Green Southerners,Live,Green Southerners,mp4
