GISJOIN,Date of Post,Date of Incident,Time of Post,Time of Incident,Area,Abscissa (x),Ordinate (y),Khodor,Ahmad,GS,Folder Source,URL Source,,Platform,Format
,2023-12-02,2023-12-02,23:57:00,17:13:00,Al Khiam,,,Yes,,,20231202 اطراف الخيام فوسفوري ومضيء,Green Southerners,Live,Green Southerners,jpg
,2023-12-02,2023-12-02,23:57:00,17:13:00,Al Khiam,,,Yes,,,20231202 اطراف الخيام فوسفوري ومضيء,Green Southerners,Live,Green Southerners,jpg
,2023-12-04,2023-12-04,,14:00:00,Aadaisse,,,Yes,,,20231204 العديسة وكفركلا فوسفوري,Green Southerners,Live,Green Southerners,jpg
,2023-12-04,2023-12-04,,14:00:00,Kfar Kila,,,Yes,,,20231204 العديسة وكفركلا فوسفوري,Green Southerners,Live,Green Southerners,jpg
,2023-12-06,2023-12-06,,23:00:00,Meiss El Jabal,,,Yes,,,20231206 ميس الجبل وأطراف حولا فوسفوري,Green Southerners,Live,Green Southerners,mp4
,2023-12-06,2023-12-06,,23:00:00,Houla,,,Yes,,,20231206 ميس الجبل وأطراف حولا فوسفوري,Green Southerners,Live,Green Southerners,mp4
,2023-12-07,2023-12-07,,16:00:00,Rmaysh,,,Yes,,,20231207 أطراف رميش فوسفوري,Green Southerners,Live,Green Southerners,jpg
,2023-12-07,2023-12-07,,16:00:00,Rmaysh,,,Yes,,,20231207 أطراف رميش فوسفوري,Green Southerners,Live,Green Southerners,jpg
,2023-12-07,2023-12-07,,16:00:00,Rmaysh,,,Yes,,,20231207 أطراف رميش فوسفوري,Green Southerners,Live,Green Southerners,jpg
,2023-12-08,2023-12-08,4:24:00,4:24:00,Aita Ech Chaab,,,Yes,,,20231208_timesofisrael,https://www.timesofisrael.com/liveblog-december-8-2023/,Live,Times Of israel,jpg
,2023-12-08,2023-12-08,4:24:00,4:24:00,Aita Ech Chaab,,,Yes,,,20231208_timesofisrael,https://www.timesofisrael.com/liveblog-december-8-2023/,Live,Times Of israel,jpg
,2023-12-14,2023-12-14,,14:00:00,Al Khiam,,,Yes,,,20231214 الخيام فوسفوري,Green Southerners,Live,Green Southerners,jpg
,2023-12-26,2023-12-26,,16:00:00,Marouahine,,,Yes,,,20231226 جبل بلاط ومروحين فوسفوري ومدفعي 2,Green Southerners,Live,Green Southerners,jpg
,2023-12-26,2023-12-26,,16:00:00,Marouahine,,,Yes,,,20231226 جبل بلاط ومروحين فوسفوري ومدفعي 3,Green Southerners,Live,Green Southerners,jpg
,2023-12-26,2023-12-26,,16:00:00,Marouahine,,,Yes,,,20231226 جبل بلاط ومروحين فوسفوري ومدفعي,Green Southerners,Live,Green Southerners,jpg
,2024-01-06,2024-01-06,16:17:00,16:17:00,Al Khiam,,,Yes,,,"20240106_1617_fouadkhreiss_1
20240106_1617_fouadkhreiss_2",https://twitter.com/fouadkhreiss/status/1743637943334367237,Live,Twitter,mp4
,2024-01-08,2024-01-08,0:32:00,0:32:00,Meiss El Jabal,,,Yes,,,20240108_0032_WarMonitors,https://twitter.com/WarMonitors/status/1744124867622957317,Live,Twitter,mp4
,2024-01-08,2024-01-08,0:32:00,0:32:00,Meiss El Jabal,,,Yes,,,20240108_0032_WarMonitors,https://twitter.com/WarMonitors/status/1744124867622957317,Live,Twitter,mp4
,2024-01-14,2024-01-14,18:03:00,18:03:00,Aadaisse,,,Yes,,,20240114_1803_QudsNen,https://twitter.com/QudsNen/status/1746563673269633215,Live,Twitter,mp4
,2024-01-14,2024-01-14,18:03:00,18:03:00,Kfar Kila,,,Yes,,,20240114_1803_QudsNen,https://twitter.com/QudsNen/status/1746563673269633215,Live,Twitter,mp4
